PERMNO,date,TICKER,SHROUT
86356,2008-01-31,EBAY,1368512
86356,2008-02-29,EBAY,1327947
86356,2008-03-31,EBAY,1315598
86356,2008-04-30,EBAY,1316317
86356,2008-05-30,EBAY,1316317
86356,2008-06-30,EBAY,1300354
86356,2008-07-31,EBAY,1300564
86356,2008-08-29,EBAY,1300564
86356,2008-09-30,EBAY,1276843
86356,2008-10-31,EBAY,1276944
86356,2008-11-28,EBAY,1276944
86356,2008-12-31,EBAY,1282025
86356,2009-01-30,EBAY,1282025
86356,2009-02-27,EBAY,1282966
86356,2009-03-31,EBAY,1282025
86356,2009-04-30,EBAY,1286592
86356,2009-05-29,EBAY,1286592
86356,2009-06-30,EBAY,1290130
86356,2009-07-31,EBAY,1290403
86356,2009-08-31,EBAY,1290923
86356,2009-09-30,EBAY,1292774
86356,2009-10-30,EBAY,1292962
86356,2009-11-30,EBAY,1292962
86356,2009-12-31,EBAY,1297799
86356,2010-01-29,EBAY,1297799
86356,2010-02-26,EBAY,1299007
86356,2010-03-31,EBAY,1306855
86356,2010-04-30,EBAY,1306970
86356,2010-05-28,EBAY,1306970
86356,2010-06-30,EBAY,1311921
86356,2010-07-30,EBAY,1312155
86356,2010-08-31,EBAY,1312155
86356,2010-09-30,EBAY,1303517
86356,2010-10-29,EBAY,1303739
86356,2010-11-30,EBAY,1303739
86356,2010-12-31,EBAY,1297710
86356,2011-01-31,EBAY,1298370
86356,2011-02-28,EBAY,1298370
86356,2011-03-31,EBAY,1297655
86356,2011-04-29,EBAY,1297899
86356,2011-05-31,EBAY,1297899
86356,2011-06-30,EBAY,1288414
86356,2011-07-29,EBAY,1288759
86356,2011-08-31,EBAY,1288759
86356,2011-09-30,EBAY,1290645
86356,2011-10-31,EBAY,1290934
86356,2011-11-30,EBAY,1290934
86356,2011-12-30,EBAY,1286487
86356,2012-01-31,EBAY,1286915
86356,2012-02-29,EBAY,1286915
86356,2012-03-30,EBAY,1291000
86356,2012-04-30,EBAY,1291228
86356,2012-05-31,EBAY,1291228
86356,2012-06-29,EBAY,1288000
86356,2012-07-31,EBAY,1288670
86356,2012-08-31,EBAY,1288670
86356,2012-09-28,EBAY,1294000
86356,2012-10-31,EBAY,1293985
86356,2012-11-30,EBAY,1293985
86356,2012-12-31,EBAY,1294000
86356,2013-01-31,EBAY,1296512
86356,2013-02-28,EBAY,1296512
86356,2013-03-28,EBAY,1295000
86356,2013-04-30,EBAY,1297790
86356,2013-05-31,EBAY,1297790
86356,2013-06-28,EBAY,1294000
86356,2013-07-31,EBAY,1294532
86356,2013-08-30,EBAY,1294532
86356,2013-09-30,EBAY,1294000
86356,2013-10-31,EBAY,1294598
86356,2013-11-29,EBAY,1294598
86356,2013-12-31,EBAY,1294000
86356,2014-01-31,EBAY,1294655
86356,2014-02-28,EBAY,1294655
86356,2014-03-31,EBAY,1267000
86356,2014-04-30,EBAY,1267343
86356,2014-05-30,EBAY,1267343
86356,2014-06-30,EBAY,1241000
86356,2014-07-31,EBAY,1241213
86356,2014-08-29,EBAY,1241213
86356,2014-09-30,EBAY,1242000
86356,2014-10-31,EBAY,1242367
86356,2014-11-28,EBAY,1242367
86356,2014-12-31,EBAY,1224000
86356,2015-01-30,EBAY,1224000
86356,2015-02-27,EBAY,1210047
86356,2015-03-31,EBAY,1210000
86356,2015-04-30,EBAY,1214822
86356,2015-05-29,EBAY,1214822
86356,2015-06-30,EBAY,1218000
86356,2015-07-31,EBAY,1218228
86356,2015-08-31,EBAY,1218228
86356,2015-09-30,EBAY,1203000
86356,2015-10-30,EBAY,1200654
86356,2015-11-30,EBAY,1200654
86356,2015-12-31,EBAY,1184000
86356,2016-01-29,EBAY,1178705
86356,2016-02-29,EBAY,1178705
86356,2016-03-31,EBAY,1143000
86356,2016-04-29,EBAY,1148904
86356,2016-05-31,EBAY,1148904
86356,2016-06-30,EBAY,1132000
86356,2016-07-29,EBAY,1129019
86356,2016-08-31,EBAY,1129019
86356,2016-09-30,EBAY,1117000
86356,2016-10-31,EBAY,1117926
86356,2016-11-30,EBAY,1117926
86356,2016-12-30,EBAY,1087000
86356,2017-01-31,EBAY,1087043
86356,2017-02-28,EBAY,1087043
86356,2017-03-31,EBAY,1078000
86356,2017-04-28,EBAY,1082338
86356,2017-05-31,EBAY,1082338
86356,2017-06-30,EBAY,1072000
86356,2017-07-31,EBAY,1070316
86356,2017-08-31,EBAY,1070316
86356,2017-09-29,EBAY,1049000
86356,2017-10-31,EBAY,1044571
86356,2017-11-30,EBAY,1044571
86356,2017-12-29,EBAY,1029000
86356,2018-01-31,EBAY,1012080
86356,2018-02-28,EBAY,1012080
86356,2018-03-29,EBAY,1007000
86356,2018-04-30,EBAY,993978
86356,2018-05-31,EBAY,993978
86356,2018-06-29,EBAY,989000
86356,2018-07-31,EBAY,989550
86356,2018-08-31,EBAY,989550
86356,2018-09-28,EBAY,963000
86356,2018-10-31,EBAY,962827
86356,2018-11-30,EBAY,962827
86356,2018-12-31,EBAY,915000
86356,2019-01-31,EBAY,914880
86356,2019-02-28,EBAY,914880
86356,2019-03-29,EBAY,876000
86356,2019-04-30,EBAY,871527
86356,2019-05-31,EBAY,871527
86356,2019-06-28,EBAY,842000
86356,2019-07-31,EBAY,838764
86356,2019-08-30,EBAY,838764
86356,2019-09-30,EBAY,819000
86356,2019-10-31,EBAY,813525
86356,2019-11-29,EBAY,813525
86356,2019-12-31,EBAY,796081
86356,2020-01-31,EBAY,796081
86356,2020-02-28,EBAY,796081
86356,2020-03-31,EBAY,701000
86356,2020-04-30,EBAY,700853
86356,2020-05-29,EBAY,702679
86356,2020-06-30,EBAY,705000
86356,2020-07-31,EBAY,699881
86356,2020-08-31,EBAY,699881
86356,2020-09-30,EBAY,689000
86356,2020-10-30,EBAY,689339
86356,2020-11-30,EBAY,689339
86356,2020-12-31,EBAY,684000
86356,2021-01-29,EBAY,684000
86356,2021-02-26,EBAY,680446
86356,2021-03-31,EBAY,681000
86356,2021-04-30,EBAY,681262
86356,2021-05-28,EBAY,681262
86356,2021-06-30,EBAY,661000
86356,2021-07-30,EBAY,661000
86356,2021-08-31,EBAY,650056
86356,2021-09-30,EBAY,633000
86356,2021-10-29,EBAY,626004
86356,2021-11-30,EBAY,626004
86356,2021-12-31,EBAY,594000
86356,2022-01-31,EBAY,594000
86356,2022-02-28,EBAY,587529
86356,2022-03-31,EBAY,571000
86356,2022-04-29,EBAY,571364
86356,2022-05-31,EBAY,559842
86356,2022-06-30,EBAY,549000
86356,2022-07-29,EBAY,549000
86356,2022-08-31,EBAY,549368
86356,2022-09-30,EBAY,544000
86356,2022-10-31,EBAY,544000
86356,2022-11-30,EBAY,542659
86356,2022-12-30,EBAY,542659
86401,2000-03-31,FOX,176560
86401,2000-04-28,FOX,176560
86401,2000-05-31,FOX,176560
86401,2000-06-30,FOX,176560
86401,2000-07-31,FOX,176560
86401,2000-08-31,FOX,176560
86401,2000-09-29,FOX,176560
86401,2000-10-31,FOX,176560
86401,2000-11-30,FOX,176560
86401,2000-12-29,FOX,176560
86401,2001-01-31,FOX,176560
86401,2001-02-28,FOX,176560
