PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL
18411,04/30/2020,SO,50.14000,60.33000,56.73000,1137234
18411,05/29/2020,SO,52.54000,57.07000,57.07000,1057424
18411,06/30/2020,SO,50.92000,60.27000,51.85000,1147710
18411,07/31/2020,SO,51.94000,55.78000,54.61000,829041
18411,08/31/2020,SO,51.72000,55.07000,52.18000,752394
18411,09/30/2020,SO,51.56000,54.22000,54.22000,866599
18411,10/30/2020,SO,54.62000,60.85000,57.45000,892244
18411,11/30/2020,SO,59.01000,64.17000,59.85000,769681
18411,12/31/2020,SO,59.38000,61.88000,61.43000,699614
18411,01/29/2021,SO,58.54000,61.57000,58.92000,797175
18411,02/26/2021,SO,56.72000,61.29000,56.72000,711445
18411,03/31/2021,SO,57.41000,62.32000,62.16000,974310
18411,04/30/2021,SO,62.33000,66.17000,66.17000,798130
18411,05/28/2021,SO,63.66000,66.42000,63.92000,802245
18411,06/30/2021,SO,60.46000,64.67000,60.51000,885799
18411,07/30/2021,SO,61.34000,64.54000,63.87000,827579
18411,08/31/2021,SO,64.03000,67.32000,65.73000,883426
18411,09/30/2021,SO,61.94000,67.31000,61.97000,877686
18411,10/29/2021,SO,61.75000,64.16000,62.32000,719529
18411,11/30/2021,SO,61.10000,63.86000,61.10000,865812
18411,12/31/2021,SO,61.14000,68.58000,68.58000,1062743
18411,01/31/2022,SO,67.02000,69.49000,69.49000,1118597
18411,02/28/2022,SO,62.84000,69.25000,64.77000,1329549
18411,03/31/2022,SO,64.10000,72.51000,72.51000,1268158
18411,04/29/2022,SO,73.12000,76.51000,73.39000,1157296
18411,05/31/2022,SO,73.12000,76.07000,75.66000,1125083
18411,06/30/2022,SO,65.39000,75.95000,71.31000,1059818
18411,07/29/2022,SO,70.82000,76.89000,76.89000,873241
18411,08/31/2022,SO,75.93000,80.16000,77.07000,829130
18411,09/30/2022,SO,68.00000,80.15000,68.00000,824583
18411,10/31/2022,SO,61.50000,70.69000,65.48000,960231
18411,11/30/2022,SO,63.36000,67.64000,67.64000,943224
18411,12/30/2022,SO,67.34000,72.27000,71.41000,1052219
18420,02/28/2019,,,,,
18420,03/29/2019,FOXA,36.40000,40.34000,36.71000,818403
18420,04/30/2019,FOXA,36.08000,39.20000,38.99000,1215711
18420,05/31/2019,FOXA,35.22000,39.40000,35.23000,1304187
18420,06/28/2019,FOXA,34.01000,36.64000,36.64000,1203439
18420,07/31/2019,FOXA,35.92000,37.82000,37.32000,839655
18420,08/30/2019,FOXA,31.75000,37.04000,33.17000,907721
18420,09/30/2019,FOXA,31.44000,34.30000,31.53500,834905
18420,10/31/2019,FOXA,30.05500,33.45000,32.04000,1215990
18420,11/29/2019,FOXA,32.39000,36.26000,35.76000,852997
18420,12/31/2019,FOXA,35.19000,37.57000,37.07000,787249
18420,01/31/2020,FOXA,36.57000,39.34000,37.08000,966899
18420,02/28/2020,FOXA,30.74000,38.67000,30.74000,849653
18420,03/31/2020,FOXA,20.20000,32.11000,23.63000,1455017
18420,04/30/2020,FOXA,22.30000,28.37000,25.87000,874771
18420,05/29/2020,FOXA,24.10000,29.65000,29.17000,878457
18420,06/30/2020,FOXA,25.70000,32.48000,26.82000,1108607
18420,07/31/2020,FOXA,24.37000,26.93000,25.77000,883809
18420,08/31/2020,FOXA,24.40000,27.86000,27.86000,1042843
18420,09/30/2020,FOXA,25.91000,29.34000,27.83000,923821
18420,10/30/2020,FOXA,25.31000,29.56000,26.52000,836665
18420,11/30/2020,FOXA,25.63000,29.48000,28.84000,1258288
18420,12/31/2020,FOXA,27.27000,30.60000,29.12000,962001
18420,01/29/2021,FOXA,28.81000,34.93000,31.18000,1512448
18420,02/26/2021,FOXA,30.28000,34.69000,33.31000,892799
18420,03/31/2021,FOXA,34.79000,44.18000,36.11000,1324060
18420,04/30/2021,FOXA,36.31000,38.61000,37.42000,693730
18420,05/28/2021,FOXA,36.34000,38.83000,37.35000,624264
18420,06/30/2021,FOXA,36.59000,38.36000,37.13000,597038
18420,07/30/2021,FOXA,34.72000,37.55000,35.66000,511335
18420,08/31/2021,FOXA,34.91000,37.47000,37.44000,485995
18420,09/30/2021,FOXA,35.30000,40.25000,40.11000,575474
18420,10/29/2021,FOXA,39.74000,43.21000,39.74000,567967
18420,11/30/2021,FOXA,35.71000,41.60000,35.71000,627681
18420,12/31/2021,FOXA,34.44000,37.53000,36.90000,844975
18420,01/31/2022,FOXA,37.61000,41.02000,40.61000,733397
18420,02/28/2022,FOXA,40.31000,44.00000,41.83000,665395
18420,03/31/2022,FOXA,38.75000,43.16000,39.45000,893864
18420,04/29/2022,FOXA,35.84000,39.56000,35.84000,508184
18420,05/31/2022,FOXA,32.42000,37.04000,35.51000,617439
18420,06/30/2022,FOXA,31.52000,34.86000,32.16000,515716
18420,07/29/2022,FOXA,32.51000,35.28000,33.11000,392893
18420,08/31/2022,FOXA,33.20000,36.50000,34.18000,488515
18420,09/30/2022,FOXA,30.51000,34.80000,30.68000,561049
18420,10/31/2022,FOXA,28.17000,32.23000,28.87000,738926
18420,11/30/2022,FOXA,28.44000,32.45000,32.45000,601866
18420,12/30/2022,FOXA,29.49000,32.55000,30.37000,492305
18421,02/28/2019,,,,,
18421,03/29/2019,FOX,35.67000,39.55000,35.88000,365698
18421,04/30/2019,FOX,35.50000,38.73000,38.50000,446844
18421,05/31/2019,FOX,34.71000,38.74000,34.71000,357773
18421,06/28/2019,FOX,33.68000,36.53000,36.53000,429910
18421,07/31/2019,FOX,35.96000,37.85000,37.20000,341514
18421,08/30/2019,FOX,31.44000,36.84000,32.80000,356888
18421,09/30/2019,FOX,31.47000,34.22000,31.54000,205529
18421,10/31/2019,FOX,30.03500,32.77000,31.24000,309150
18421,11/29/2019,FOX,31.86000,35.43000,34.98000,283540
18421,12/31/2019,FOX,34.35000,36.80000,36.40000,245896
18421,01/31/2020,FOX,35.99000,38.57500,36.33000,290832
18421,02/28/2020,FOX,30.45000,37.93000,30.45000,304668
18421,03/31/2020,FOX,19.81000,31.79000,22.88000,626903
18421,04/30/2020,FOX,21.56500,27.95000,25.56000,312689
18421,05/29/2020,FOX,23.85000,29.30000,28.78000,225816
18421,06/30/2020,FOX,25.75000,31.68000,26.84000,333588
