permno,adate,qdate,public_date,GProf,TICKER
26825,2013-12-31,2014-03-31,2014-07-31,0.454,K
26825,2013-12-31,2014-06-30,2014-08-31,0.447,K
26825,2013-12-31,2014-06-30,2014-09-30,0.447,K
26825,2013-12-31,2014-06-30,2014-10-31,0.447,K
26825,2013-12-31,2014-09-30,2014-11-30,0.438,K
26825,2013-12-31,2014-09-30,2014-12-31,0.438,K
26825,2013-12-31,2014-09-30,2015-01-31,0.438,K
26825,2014-12-31,2014-12-31,2015-02-28,0.379,K
26825,2014-12-31,2014-12-31,2015-03-31,0.379,K
26825,2014-12-31,2014-12-31,2015-04-30,0.379,K
26825,2014-12-31,2015-03-31,2015-05-31,0.356,K
26825,2014-12-31,2015-03-31,2015-06-30,0.356,K
26825,2014-12-31,2015-03-31,2015-07-31,0.356,K
26825,2014-12-31,2015-06-30,2015-08-31,0.359,K
26825,2014-12-31,2015-06-30,2015-09-30,0.359,K
26825,2014-12-31,2015-06-30,2015-10-31,0.359,K
26825,2014-12-31,2015-09-30,2015-11-30,0.355,K
26825,2014-12-31,2015-09-30,2015-12-31,0.355,K
26825,2014-12-31,2015-09-30,2016-01-31,0.355,K
26825,2015-12-31,2015-12-31,2016-02-29,0.362,K
26825,2015-12-31,2015-12-31,2016-03-31,0.362,K
26825,2015-12-31,2015-12-31,2016-04-30,0.362,K
26825,2015-12-31,2016-03-31,2016-05-31,0.360,K
26825,2015-12-31,2016-03-31,2016-06-30,0.360,K
26825,2015-12-31,2016-03-31,2016-07-31,0.360,K
26825,2015-12-31,2016-06-30,2016-08-31,0.351,K
26825,2015-12-31,2016-06-30,2016-09-30,0.351,K
26825,2015-12-31,2016-06-30,2016-10-31,0.351,K
26825,2015-12-31,2016-09-30,2016-11-30,0.350,K
26825,2015-12-31,2016-09-30,2016-12-31,0.350,K
26825,2015-12-31,2016-09-30,2017-01-31,0.350,K
26825,2016-12-31,2016-12-31,2017-02-28,0.361,K
26825,2016-12-31,2016-12-31,2017-03-31,0.361,K
26825,2016-12-31,2016-12-31,2017-04-30,0.361,K
26825,2016-12-31,2017-03-31,2017-05-31,0.350,K
26825,2016-12-31,2017-03-31,2017-06-30,0.350,K
26825,2016-12-31,2017-03-31,2017-07-31,0.350,K
26825,2016-12-31,2017-06-30,2017-08-31,0.344,K
26825,2016-12-31,2017-06-30,2017-09-30,0.344,K
26825,2016-12-31,2017-06-30,2017-10-31,0.344,K
26825,2016-12-31,2017-09-30,2017-11-30,0.340,K
26825,2016-12-31,2017-09-30,2017-12-31,0.340,K
26825,2016-12-31,2017-09-30,2018-01-31,0.340,K
26825,2017-12-31,2017-12-31,2018-02-28,0.339,K
26825,2017-12-31,2017-12-31,2018-03-31,0.339,K
26825,2017-12-31,2017-12-31,2018-04-30,0.339,K
26825,2017-12-31,2018-03-31,2018-05-31,0.336,K
26825,2017-12-31,2018-03-31,2018-06-30,0.336,K
26825,2017-12-31,2018-03-31,2018-07-31,0.336,K
26825,2017-12-31,2018-06-30,2018-08-31,0.321,K
26825,2017-12-31,2018-06-30,2018-09-30,0.321,K
26825,2017-12-31,2018-06-30,2018-10-31,0.321,K
26825,2017-12-31,2018-09-30,2018-11-30,0.310,K
26825,2017-12-31,2018-09-30,2018-12-31,0.310,K
26825,2017-12-31,2018-09-30,2019-01-31,0.310,K
26825,2018-12-31,2018-12-31,2019-02-28,0.301,K
26825,2018-12-31,2018-12-31,2019-03-31,0.301,K
26825,2018-12-31,2018-12-31,2019-04-30,0.301,K
26825,2018-12-31,2019-03-31,2019-05-31,0.288,K
26825,2018-12-31,2019-03-31,2019-06-30,0.288,K
