PERMNO,date,TICKER,PRC,VOL
61399,2021-06-28,LOW,193.21001,2510639
61399,2021-06-29,LOW,194.20000,2628892
61399,2021-06-30,LOW,193.97000,2716109
61399,2021-07-01,LOW,195.82001,2456346
61399,2021-07-02,LOW,195.71001,2553453
61399,2021-07-06,LOW,194.75000,2588629
61399,2021-07-07,LOW,195.88000,3647371
61399,2021-07-08,LOW,192.80000,3993821
61399,2021-07-09,LOW,195.33000,2436359
61399,2021-07-12,LOW,195.57001,2405689
61399,2021-07-13,LOW,194.28000,3192075
61399,2021-07-14,LOW,192.74001,2943386
61399,2021-07-15,LOW,195.75000,3187979
61399,2021-07-16,LOW,196.14000,4920693
61399,2021-07-19,LOW,192.89999,5213961
61399,2021-07-20,LOW,194.11000,2882733
61399,2021-07-21,LOW,195.13000,2112874
61399,2021-07-22,LOW,196.77000,3244279
61399,2021-07-23,LOW,200.84000,3358116
61399,2021-07-26,LOW,197.74001,3422176
61399,2021-07-27,LOW,193.50999,4106073
61399,2021-07-28,LOW,192.39000,2152764
61399,2021-07-29,LOW,193.62000,2532817
61399,2021-07-30,LOW,192.69000,2841591
61399,2021-08-02,LOW,190.96001,3051665
61399,2021-08-03,LOW,193.95000,2335367
61399,2021-08-04,LOW,189.89999,3162398
61399,2021-08-05,LOW,190.67999,2335758
61399,2021-08-06,LOW,190.16000,2855017
61399,2021-08-09,LOW,187.99001,2296182
61399,2021-08-10,LOW,189.73000,2548402
61399,2021-08-11,LOW,194.52000,3367253
61399,2021-08-12,LOW,192.00000,2754081
61399,2021-08-13,LOW,190.50999,2400926
61399,2021-08-16,LOW,193.48000,3486642
61399,2021-08-17,LOW,182.25999,8256370
61399,2021-08-18,LOW,199.73000,16992721
61399,2021-08-19,LOW,202.59000,5378332
61399,2021-08-20,LOW,208.21001,4915661
61399,2021-08-23,LOW,206.06000,4195205
61399,2021-08-24,LOW,203.39000,4110644
61399,2021-08-25,LOW,206.17999,2628833
61399,2021-08-26,LOW,205.64999,3250430
61399,2021-08-27,LOW,205.89999,3128212
61399,2021-08-30,LOW,204.99001,3986280
61399,2021-08-31,LOW,203.89000,4877879
61399,2021-09-01,LOW,203.42999,2834955
61399,2021-09-02,LOW,206.14999,2655955
61399,2021-09-03,LOW,205.98000,2260876
61399,2021-09-07,LOW,205.14999,2591884
61399,2021-09-08,LOW,204.09000,3344784
61399,2021-09-09,LOW,203.00999,2566114
61399,2021-09-10,LOW,204.33000,2505622
61399,2021-09-13,LOW,206.05000,3158499
61399,2021-09-14,LOW,204.17000,2485845
61399,2021-09-15,LOW,205.61000,2956611
61399,2021-09-16,LOW,208.48000,3365564
61399,2021-09-17,LOW,209.03000,5835235
61399,2021-09-20,LOW,205.27000,3640389
61399,2021-09-21,LOW,206.27000,2681274
61399,2021-09-22,LOW,208.89000,3169203
61399,2021-09-23,LOW,207.98000,3128815
61399,2021-09-24,LOW,207.87000,2275876
61399,2021-09-27,LOW,210.63000,2886211
61399,2021-09-28,LOW,205.42999,4030423
61399,2021-09-29,LOW,207.10001,2678368
61399,2021-09-30,LOW,202.86000,3829021
61399,2021-10-01,LOW,203.70000,3016400
61399,2021-10-04,LOW,204.50999,5195641
61399,2021-10-05,LOW,204.27000,3483142
61399,2021-10-06,LOW,204.00000,3079628
61399,2021-10-07,LOW,207.89999,3001146
61399,2021-10-08,LOW,206.16000,3042044
61399,2021-10-11,LOW,208.85001,3267889
61399,2021-10-12,LOW,209.80000,2793550
61399,2021-10-13,LOW,212.12000,3275725
61399,2021-10-14,LOW,216.45000,3177235
61399,2021-10-15,LOW,219.16000,2930548
61399,2021-10-18,LOW,221.74001,2785992
61399,2021-10-19,LOW,222.91000,2976253
61399,2021-10-20,LOW,225.00999,2293870
61399,2021-10-21,LOW,227.42000,2883245
61399,2021-10-22,LOW,228.77000,2207451
61399,2021-10-25,LOW,231.82001,3018519
61399,2021-10-26,LOW,231.07001,2801056
61399,2021-10-27,LOW,231.77000,2801745
61399,2021-10-28,LOW,231.75999,2421697
61399,2021-10-29,LOW,233.82001,3316325
61399,2021-11-01,LOW,231.75000,3861604
61399,2021-11-02,LOW,233.03000,2167348
61399,2021-11-03,LOW,234.30000,2629344
61399,2021-11-04,LOW,237.78000,2508823
