PERMNO,date,TICKER,PRC
75186,2007-03-30,SCHW,18.29000
75186,2007-04-30,SCHW,19.12000
75186,2007-05-31,SCHW,22.47000
75186,2007-06-29,SCHW,20.52000
75186,2007-07-31,SCHW,20.13000
75186,2007-08-31,SCHW,19.80000
75186,2007-09-28,SCHW,21.60000
75186,2007-10-31,SCHW,23.24000
75186,2007-11-30,SCHW,24.31000
75186,2007-12-31,SCHW,25.55000
75186,2008-01-31,SCHW,22.30000
75186,2008-02-29,SCHW,19.61000
75186,2008-03-31,SCHW,18.83000
75186,2008-04-30,SCHW,21.60000
75186,2008-05-30,SCHW,22.18000
75186,2008-06-30,SCHW,20.54000
75186,2008-07-31,SCHW,22.89000
75186,2008-08-29,SCHW,23.99000
75186,2008-09-30,SCHW,26.00000
75186,2008-10-31,SCHW,19.12000
75186,2008-11-28,SCHW,18.33000
75186,2008-12-31,SCHW,16.17000
75186,2009-01-30,SCHW,13.59000
75186,2009-02-27,SCHW,12.71000
75186,2009-03-31,SCHW,15.50000
75186,2009-04-30,SCHW,18.48000
75186,2009-05-29,SCHW,17.60000
75186,2009-06-30,SCHW,17.54000
75186,2009-07-31,SCHW,17.87000
75186,2009-08-31,SCHW,18.06000
75186,2009-09-30,SCHW,19.15000
75186,2009-10-30,SCHW,17.34000
75186,2009-11-30,SCHW,18.33000
75186,2009-12-31,SCHW,18.82000
75186,2010-01-29,SCHW,18.29000
75186,2010-02-26,SCHW,18.31000
75186,2010-03-31,SCHW,18.69000
75186,2010-04-30,SCHW,19.29000
75186,2010-05-28,SCHW,16.34000
75186,2010-06-30,SCHW,14.18000
75186,2010-07-30,SCHW,14.79000
75186,2010-08-31,SCHW,12.76000
75186,2010-09-30,SCHW,13.90000
75186,2010-10-29,SCHW,15.41000
75186,2010-11-30,SCHW,15.03000
75186,2010-12-31,SCHW,17.11000
75186,2011-01-31,SCHW,18.05000
75186,2011-02-28,SCHW,18.97000
75186,2011-03-31,SCHW,18.03000
75186,2011-04-29,SCHW,18.31000
75186,2011-05-31,SCHW,18.01000
75186,2011-06-30,SCHW,16.45000
75186,2011-07-29,SCHW,14.93000
75186,2011-08-31,SCHW,12.35000
75186,2011-09-30,SCHW,11.27000
75186,2011-10-31,SCHW,12.28000
75186,2011-11-30,SCHW,11.96000
75186,2011-12-30,SCHW,11.26000
75186,2012-01-31,SCHW,11.65000
75186,2012-02-29,SCHW,13.88000
75186,2012-03-30,SCHW,14.37000
75186,2012-04-30,SCHW,14.28000
75186,2012-05-31,SCHW,12.46000
75186,2012-06-29,SCHW,12.93000
75186,2012-07-31,SCHW,12.63000
75186,2012-08-31,SCHW,13.49000
75186,2012-09-28,SCHW,12.78500
75186,2012-10-31,SCHW,13.58000
75186,2012-11-30,SCHW,13.10000
75186,2012-12-31,SCHW,14.36000
75186,2013-01-31,SCHW,16.53000
75186,2013-02-28,SCHW,16.24000
75186,2013-03-28,SCHW,17.69000
75186,2013-04-30,SCHW,16.96000
75186,2013-05-31,SCHW,19.86000
75186,2013-06-28,SCHW,21.23000
75186,2013-07-31,SCHW,22.09000
75186,2013-08-30,SCHW,20.88000
75186,2013-09-30,SCHW,21.14000
75186,2013-10-31,SCHW,22.65000
75186,2013-11-29,SCHW,24.48000
75186,2013-12-31,SCHW,26.00000
75186,2014-01-31,SCHW,24.82000
75186,2014-02-28,SCHW,26.51000
75186,2014-03-31,SCHW,27.33000
75186,2014-04-30,SCHW,26.55000
75186,2014-05-30,SCHW,25.21000
75186,2014-06-30,SCHW,26.93000
75186,2014-07-31,SCHW,27.75000
75186,2014-08-29,SCHW,28.51000
75186,2014-09-30,SCHW,29.39000
75186,2014-10-31,SCHW,28.67000
75186,2014-11-28,SCHW,28.32000
75186,2014-12-31,SCHW,30.19000
75186,2015-01-30,SCHW,25.98000
75186,2015-02-27,SCHW,29.34000
75186,2015-03-31,SCHW,30.44000
75186,2015-04-30,SCHW,30.50000
75186,2015-05-29,SCHW,31.65000
75186,2015-06-30,SCHW,32.65000
75186,2015-07-31,SCHW,34.88000
75186,2015-08-31,SCHW,30.38000
75186,2015-09-30,SCHW,28.56000
75186,2015-10-30,SCHW,30.52000
75186,2015-11-30,SCHW,33.71000
75186,2015-12-31,SCHW,32.93000
75186,2016-01-29,SCHW,25.53000
75186,2016-02-29,SCHW,25.05000
75186,2016-03-31,SCHW,28.02000
75186,2016-04-29,SCHW,28.41000
75186,2016-05-31,SCHW,30.58000
75186,2016-06-30,SCHW,25.31000
75186,2016-07-29,SCHW,28.42000
75186,2016-08-31,SCHW,31.46000
75186,2016-09-30,SCHW,31.57000
75186,2016-10-31,SCHW,31.70000
75186,2016-11-30,SCHW,38.66000
75186,2016-12-30,SCHW,39.47000
75186,2017-01-31,SCHW,41.24000
75186,2017-02-28,SCHW,40.41000
75186,2017-03-31,SCHW,40.81000
75186,2017-04-28,SCHW,38.85000
75186,2017-05-31,SCHW,38.75000
75186,2017-06-30,SCHW,42.96000
75186,2017-07-31,SCHW,42.90000
75186,2017-08-31,SCHW,39.90000
75186,2017-09-29,SCHW,43.74000
75186,2017-10-31,SCHW,44.84000
75186,2017-11-30,SCHW,48.79000
75186,2017-12-29,SCHW,51.37000
75186,2018-01-31,SCHW,53.34000
75186,2018-02-28,SCHW,53.02000
75186,2018-03-29,SCHW,52.22000
75186,2018-04-30,SCHW,55.68000
75186,2018-05-31,SCHW,55.62000
75186,2018-06-29,SCHW,51.10000
75186,2018-07-31,SCHW,51.06000
75186,2018-08-31,SCHW,50.79000
75186,2018-09-28,SCHW,49.15000
75186,2018-10-31,SCHW,46.24000
75186,2018-11-30,SCHW,44.80000
75186,2018-12-31,SCHW,41.53000
75186,2019-01-31,SCHW,46.77000
75186,2019-02-28,SCHW,46.01000
75186,2019-03-29,SCHW,42.76000
75186,2019-04-30,SCHW,45.78000
75186,2019-05-31,SCHW,41.61000
75186,2019-06-28,SCHW,40.19000
75186,2019-07-31,SCHW,43.22000
75186,2019-08-30,SCHW,38.27000
75186,2019-09-30,SCHW,41.83000
75186,2019-10-31,SCHW,40.71000
75186,2019-11-29,SCHW,49.50000
75186,2019-12-31,SCHW,47.56000
75186,2020-01-31,SCHW,45.55000
75186,2020-02-28,SCHW,40.75000
75186,2020-03-31,SCHW,33.62000
75186,2020-04-30,SCHW,37.72000
75186,2020-05-29,SCHW,35.91000
75186,2020-06-30,SCHW,33.74000
75186,2020-07-31,SCHW,33.15000
75186,2020-08-31,SCHW,35.53000
75186,2020-09-30,SCHW,36.23000
75186,2020-10-30,SCHW,41.11000
75186,2020-11-30,SCHW,48.78000
75186,2020-12-31,SCHW,53.04000
75186,2021-01-29,SCHW,51.54000
75186,2021-02-26,SCHW,61.72000
75186,2021-03-31,SCHW,65.18000
75186,2021-04-30,SCHW,70.40000
75186,2021-05-28,SCHW,73.85000
75186,2021-06-30,SCHW,72.81000
75186,2021-07-30,SCHW,67.95000
75186,2021-08-31,SCHW,72.85000
75186,2021-09-30,SCHW,72.84000
75186,2021-10-29,SCHW,82.03000
75186,2021-11-30,SCHW,77.39000
75186,2021-12-31,SCHW,84.10000
75186,2022-01-31,SCHW,87.70000
75186,2022-02-28,SCHW,84.46000
75186,2022-03-31,SCHW,84.31000
75186,2022-04-29,SCHW,66.33000
75186,2022-05-31,SCHW,70.10000
75186,2022-06-30,SCHW,63.18000
75186,2022-07-29,SCHW,69.05000
75186,2022-08-31,SCHW,70.95000
75186,2022-09-30,SCHW,71.87000
75186,2022-10-31,SCHW,79.67000
75186,2022-11-30,SCHW,82.54000
75186,2022-12-30,SCHW,83.26000
75278,2000-01-31,AC,37.62500
75278,2000-02-29,AC,37.43750
75278,2000-03-31,AC,41.43750
75278,2000-04-28,AC,44.81250
75278,2000-05-31,AC,45.06250
75278,2000-06-30,AC,47.43750
75278,2000-07-31,AC,47.68750
75278,2000-08-31,AC,51.75000
75278,2000-09-29,AC,50.12500
75278,2000-10-31,AC,48.00000
75278,2000-11-30,AC,45.50000
75278,2000-12-29,AC,50.62500
75278,2001-01-31,AC,58.10000
75278,2001-02-28,AC,46.76000
75278,2001-03-30,AC,41.20000
75278,2001-04-30,AC,46.10000
75278,2001-05-31,AC,50.90000
75278,2001-06-29,AC,53.06000
75278,2001-07-31,AC,52.00000
75278,2001-08-31,AC,52.36000
75278,2001-09-28,AC,45.70000
75278,2001-10-31,AC,47.65000
75278,2001-11-30,AC,50.83000
75278,2001-12-31,AC,48.32000
75278,2002-01-31,AC,42.40000
75278,2002-02-28,AC,45.14000
75278,2002-03-28,AC,46.40000
75278,2002-04-30,AC,46.01000
75278,2002-05-31,AC,39.02000
75278,2002-06-28,AC,34.25000
75278,2002-07-31,AC,29.00000
75278,2002-08-30,AC,31.06000
75278,2002-09-30,AC,27.73000
75278,2002-10-31,AC,29.11000
75278,2002-11-29,AC,34.98000
75278,2002-12-31,AC,31.00000
75278,2003-01-31,AC,29.85000
75278,2003-02-28,AC,28.20000
75278,2003-03-31,AC,28.80000
75278,2003-04-30,AC,31.88000
75278,2003-05-30,AC,35.00000
75278,2003-06-30,AC,36.50000
75278,2003-07-31,AC,36.95000
75278,2003-08-29,AC,35.40000
75278,2003-09-30,AC,33.49000
75278,2003-10-31,AC,33.57000
75278,2003-11-28,AC,32.20000
75278,2003-12-31,AC,33.75000
75278,2004-01-30,AC,36.86000
75278,2004-02-27,AC,37.00000
75278,2004-03-31,AC,36.80000
75278,2004-04-30,AC,33.35000
75278,2004-05-28,AC,33.63000
75278,2004-06-30,AC,33.95000
75278,2004-07-30,AC,33.49000
75278,2004-08-31,AC,34.27000
75278,2004-09-30,AC,35.50000
75278,2004-10-29,AC,38.00000
75278,2004-11-30,AC,39.64000
75278,2004-12-31,AC,42.00000
75278,2005-01-31,AC,44.99000
75278,2005-02-28,AC,47.03000
75278,2005-03-31,AC,47.15000
75278,2005-04-29,AC,44.94000
75278,2005-05-31,AC,45.40000
75278,2005-06-30,AC,46.74000
75278,2005-07-29,AC,45.53000
75278,2005-08-31,AC,44.22000
75278,2005-09-30,AC,47.85000
75278,2005-10-31,AC,52.93000
75278,2005-11-30,AC,54.55000
75278,2005-12-30,AC,56.49000
75278,2006-01-31,AC,60.44000
75278,2006-02-28,AB,64.27000
75278,2006-03-31,AB,66.25000
75278,2006-04-28,AB,64.45000
75278,2006-05-31,AB,65.28000
75278,2006-06-30,AB,61.14000
75278,2006-07-31,AB,65.00000
75278,2006-08-31,AB,66.70000
75278,2006-09-29,AB,68.99000
75278,2006-10-31,AB,77.70000
75278,2006-11-30,AB,76.49000
75278,2006-12-29,AB,80.40000
75278,2007-01-31,AB,90.09000
75278,2007-02-28,AB,85.80000
75278,2007-03-30,AB,88.50000
75278,2007-04-30,AB,90.96000
75278,2007-05-31,AB,91.41000
75278,2007-06-29,AB,87.09000
75278,2007-07-31,AB,83.92000
75278,2007-08-31,AB,82.61000
75278,2007-09-28,AB,88.07000
75278,2007-10-31,AB,85.43000
75278,2007-11-30,AB,81.95000
75278,2007-12-31,AB,75.25000
75278,2008-01-31,AB,66.39000
75278,2008-02-29,AB,62.05000
75278,2008-03-31,AB,63.38000
75278,2008-04-30,AB,62.02000
75278,2008-05-30,AB,64.31000
75278,2008-06-30,AB,54.68000
75278,2008-07-31,AB,51.95000
75278,2008-08-29,AB,54.23000
75278,2008-09-30,AB,37.01000
75278,2008-10-31,AB,23.44000
75278,2008-11-28,AB,17.61000
75278,2008-12-31,AB,20.79000
75278,2009-01-30,AB,17.08000
75278,2009-02-27,AB,12.17000
75278,2009-03-31,AB,14.72000
75278,2009-04-30,AB,17.52000
75278,2009-05-29,AB,19.08000
75278,2009-06-30,AB,20.09000
75278,2009-07-31,AB,20.64000
75278,2009-08-31,AB,22.69000
75278,2009-09-30,AB,27.28000
